SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,COUNTRY,PUBLICATION-TYPE,BYLINE,LANGUAGE,TI,STATE,LOAD-DATE,CITY,LENGTH,SUBJECT,TEXT
144,New Democrat (Monrovia),4/15/11,Freeman's Anti-Corruption March Allowed,,LIBERIA (94%),Newspaper,,ENGLISH,,,15-Apr-11,,349  words,CORRUPTION (90%); JUSTICE DEPARTMENTS (79%); POLICE FORCES (79%); PROTESTS & DEMONSTRATIONS (78%); LAW ENFORCEMENT (78%); JOURNALISM (77%); LAWYERS (75%); VEHICLE TRAFFIC (71%); PRESS CONFERENCES (71%); WRITERS (71%); VANDALISM (68%) Liberia; Crime and Corruption; Legal and Judicial Affairs,"Officials at the Justice ministry says presidential aspirant Freeman Simeon of the opposition Movement of Progressive Change (MPC) is at liberty ""to go and get his permit"" requested for his planned nationwide demonstration against corruption. According to reports, Mr Freeman plans to stage a simultaneous demonstration in Liberia's 15 counties on 30th April against corruption. In reply to a journalist's question during a regular information ministry press briefing Thursday, Solicitor General M. Wilkins Wright said: ""Yes, Mr. Freeman will be granted a permit to demonstrate as he has requested to demonstrate throughout the 15 counties, especially the principal cities of the counties."" He said, ""Mr. Simeon Freeman is free to mobilize, as many (people) as he wants (in order) to carry out the demonstration"". But Cllr. Wright added: ""The caution there is peaceful"", stressing that ""nobody is muscling Mr. Freeman, threatening, intimidating and nothing is going to happen to him"". However, Cllr. Wright warned that ""if Mr. Freeman comes in conflict with the law, he will be held accountable for the consequences of putting people in the streets thus vandalizing cars, damaging stores, and beating on innocent people."" ""He has taken the first step to comply with the law which is to write and seek a permit...that letter is been responded to. We have granted his permit; he can now go and get it. But he is not going to block traffic,"" emphasized. Cllr.Wright said the Liberia National Police will work along with Mr. Freeman to map out his routes so as to maintain the free flow of traffic. In reply to the heavy presence of policemen at street corners here, Cllr. Wright said ""the month of April has a history in this country, and if police are present at various corners should that be a problem to you? I say no."" He continued: ""If you were big enough April 14,1979, we all know or should know what happened on April 12, 14 and 6. There are too many instances of April in this country, and so an event taking place in April, the police are to take precaution; but it was not directed to Mr. Freeman."
145,The Informer (Monrovia),4/20/11,Corruption Remains Systemic - US Report,,UNITED STATES (95%); LIBERIA (94%); CANADA (79%); NORTH AMERICA (79%); AFRICA (79%),Newspaper,,ENGLISH,,,21-Apr-11,,1182  words,"CORRUPTION (93%); POLITICAL CORRUPTION (89%); US FEDERAL GOVERNMENT (89%); INVESTIGATIONS (89%); JUSTICE DEPARTMENTS (89%); CIVIL SERVICES (89%); JURY TRIALS (89%); BRIBERY (89%); LAWYERS (77%); LAW ENFORCEMENT (77%); APPROPRIATIONS (77%); CRIMINAL CONVICTIONS (77%); MISAPPROPRIATION (76%); BUDGETS (76%); EXTORTION (73%); BANKING & FINANCE AGENCIES (70%); PUBLIC FINANCE AGENCIES & TREASURIES (70%); WAGES & SALARIES (68%) Liberia; Crime and Corruption; United States, Canada and Africa","The US Government 2010 human right report on Liberia stated that corruption remained ""systemic"" in the country despite efforts by the Ellen Johnson Sirleaf's administration to deal with the deep-seated social problem. ""The law does not provide criminal penalties for corruption, which remained systemic throughout the government, although criminal penalties do exist for economic sabotage, mismanagement of funds and other corruption-related acts,"" Section Four of the report titled 'Official Corruption and Government Transparency', stated. The US Government report released this month was last week corroborated by the Liberian Government when the Ministry of Justice, in its report on corruption, declared that corruption was prevalent at all levels of society including the public and private sectors. President Ellen Johnson Sirleaf who promised to make corruption public enemy number one in her administration in her 6th State of the Nation Address January said despite the many progress pout into place to combat the maniac, corruption remains a formidable force to battle-but progress have been made during the last five years.. The US Government's report particularly pointed at widespread corruption including bribery and extortion in the country's justice system with jurors and police officers at center stage. Solicitor General Wilkins Wrights in his report to the cabinet admitted to the claim by stating that one of the obstacles in fighting corruption is the jury system. Cllr. Wright noted that corruption related acts are committed by citizens...and can b e classified as high or low ranging from economic sabotage to bribery. The Solicitor General called for a total reform of the Jury System. The US report claimed that ""Official corruption and the sense of a culture of impunity were exacerbated by low pay levels for the civil service, lack of job training, and a lack of court convictions."" ""The government dismissed officials for alleged corruption and recommended others for prosecution,"" stated the report. The Liberian Anti-Corruption Commission (LACC) and the Ministry of Justice are responsible for exposing and combating official corruption. The LACC is empowered to prosecute any case that the Ministry of Justice declines to prosecute; however, the Ministry had not declined to prosecute any such cases during the year. The LACC, the report noted, which had a minimal budget and insufficient staff, investigated eight cases and recommended four for prosecution. Included in the recommendations were former Inspector General of Police Beatrice Munah Sieh (now a representative aspirant in the pending elections) for irregularities in the appropriation of uniforms and two Ministry of Finance officials for their alleged roles in misappropriating civil service salary checks. The LACC reported 21 additional corruption cases were pending investigation by year's end. The report: ""Judges were susceptible to bribes from damages that they awarded in civil cases. Judges sometimes requested bribes to try cases, release detainees from prison, or find defendants not guilty in criminal cases. Defense attorneys and prosecutors sometimes suggested that defendants pay a gratuity to appease judges, prosecutors, jurors, and police officers or to secure favorable rulings from them. Jurors were also susceptible to bribes, and the Ministry of Justice increased its calls to reform the jury system."" It said despite her strong emphasis on decentralization, President Sirleaf froze County Development Funds pending ongoing audits due to evidence of frequent misuse. The Funds were intended to support local development projects to reduce poverty. The move to recentralize administration of local development projects was widely seen as a result of inadequate local management, which often funneled development funds to support political interests of legislators rather than to reduce poverty. Following is an excerpt of the report: ""The government dismissed or suspended a number of officials for corruption stated the report. For example, in April the comptroller for the Ministry of Foreign Affairs and a senior financial officer were dismissed for allegedly stealing $4,500 intended for the country's embassy in Nigeria. In May the Bureau of Immigration and Naturalization recommended six officers for prosecution for collusion in the escape of six Bangladeshi detainees. The case was pending investigation at year's end. In June the National Security Agency arrested three Ministry of Finance officials for soliciting bribes of $10,000 each from the Cocopa Rubber Plantation Company. The case was pending investigation at year's end. On September 24, the government dropped the 2007 economic sabotage case against former National Transitional Government of Liberia chair Charles Gyude Bryant due to a lack of evidence. On October 12, President Sirleaf recommended senior officials for dismissal and referred others for further investigation for their involvement in the Carbon Harvesting Corporation deal, a carbon-credit agreement containing irregularities that would have resulted in significant loss of government revenue. The investigation of the former assistant superintendent for development in Grand Cape Mount County was pending at year's end following his October 2009 dismissal for involvement in the disappearance of approximately $90,000 from the Grand Cape Mount County Development Fund. The March 2009 case against the former minister of information Lawrence Bropleh was dismissed with prejudice on December 7. The dismissal cited the prosecution's alleged failure to appear in court; however, the Ministry of Justice contested the judge's claim. A writ of prohibition to undo the judge's decision was before the Supreme Court at year's end. Police corruption was a problem. During the year the LNP investigated reports of police misconduct or corruption, and authorities suspended or dismissed several LNP officers. For example, in August an LNP officer was charged with property theft and was awaiting trial at the end of the year. In June a senior LNP official was accused of assaulting an individual over a personal misunderstanding. The official was suspended and ordered to pay restitution; however, no restitution was made and he remained suspended by the end of the year. On October 9, the LNP director announced the implementation of complaint forms to be submitted by the public to report incidents of bribery or unethical practices. In November an LNP officer was arrested for allegedly permitting his acquaintances to use his police uniform to commit acts of armed robbery. He was released and returned to duty due to a lack of evidence. There were no developments in the September 2009 case of the former Monrovia chief of patrol indicted for looting the house of a private prosecutor. During the year the government continued to take steps to improve transparency. The General Audit Commission continued its ministerial audits and referred findings to the legislature. However, the legislature did not recommend any cases to the Ministry of Justice for prosecution."""
146,The Times of Zambia (Ndola),4/28/11,LCC Plot Scam Exposes PF Corruption,,ZAMBIA (95%),Newspaper,,ENGLISH,,,28-Apr-11,"LUSAKA, ZAMBIA (95%)",633  words,CORRUPTION (94%); LEGISLATIVE BODIES (90%); POLITICAL CORRUPTION (90%); INVESTIGATIONS (90%); POLITICS (90%); REGIONAL & LOCAL GOVERNMENTS (90%); CITY GOVERNMENT (90%); MAYORS (89%); CITIES (89%); HOUSING AUTHORITIES (78%); WHISTLEBLOWERS (78%); FINANCIAL CRIME COUNTERMEASURES (78%); CONSTRUCTION (77%); INTERVIEWS (77%); CRIMINAL INVESTIGATIONS (75%); LAW ENFORCEMENT (74%); MONEY LAUNDERING (73%); GOVERNMENT CONTROLLERS & AUDITORS (73%); LEGISLATION (66%); ROAD & BRIDGE CONSTRUCTION (50%); HIGHWAYS & STREETS (50%) Zambia; Crime and Corruption,"The Government has said the high-level corruption exposed at the Lusaka City Council has exposed the Patriotic Front (PF) inherent appetite for corruption and warned Zambians to be wary of the opposition party ahead of the elections this year. In an interview in Lusaka yesterday, Local Government and Housing Minister Brian Chituwo said PF president Michael Sata had been accusing the Government of being corrupt but had not issued a statement to condemn his councillors and MPs. Dr Chituwo said Zambians must judge which of the two parties was corrupt following allegations that MPs who had been named in the PF shadow cabinet were named as beneficiaries of the 102 plots that were irregularly shared. The minister said the on-going investigations at the country's biggest council had revealed deep scandals apart from the Lilayi Housing project. Dr Chituwo said the team had continued receiving submissions from the members of the public on many other irregularities that were unknown, which forced him to extend the suspension from the initial 90 days for another three months. He said the Government had faced a lot of accusations that it was corrupt but the PF had failed to provide evidence for the law-enforcement officers to investigate. Dr Chituwo said the Government had operated in an open and transparent manner, which had helped raise more resources for the construction of roads and hospitals countrywide. He said avoiding corruption at 100 per cent was impossible in any government but its commitment had been shown with the enactment of new laws such as the Whistle Blowers Act and strengthening of the anti-money laundering systems. The minister urged residents to continue providing reports on what they knew about corruption at the LCC in order to improve service provision for the local government to operate efficiently. Dr Chituwo, who is MMD chairperson for local government, said people were quick at condemning the Government on the basis of the Auditor General's reports but never followed up when recoveries were made. He said the Government always ensured that people mentioned refunded the Government and where crime had been detected, such people were handed over to the Anti-Corruption Commission (ACC). Dr Chituwo said the PF had been malicious against the Government and wondered what answers they had over the high levels of corruption at the council. Lusaka City Council was involved in a land scam in which councillors mayors, MPs, PF officials such as secretary general Wynter Kabimba were given plots that were not advertised in line with the law. Later reports indicated that Lusaka Mayor Daniel Chisenga sold oneplot to a resident of Lusaka. The mayor was allocated 10 plots while his deputy had five and the acting town clerk received five. Meanwhile, Dr Chituwo has said the LCC will remain suspended until the investigations that were currently going on are concluded. Dr Chituwo said some of the offences that were leveled against some officials were serious, hence the need for investigations to be allowedto be concluded. Dr Chituwo, who was speaking when he featured on Radio Phoenix's Let the people talk programe on Tuesday said the Government wanted to set up structures that would protect the council from any future abuse from office-bearers. ""How possible is it that one person can get 10 plots? We want to get to the bottom of this for now and for the future,"" Dr Chituwo said. Dr Chituwo said in the event that the investigations established that criminal activities took place within the council, the inquiry would be handed over to the law-enforcement agents for further cause of action. ""I want to tell the nation that the Government is on course but the issues are complex and require time. We have to ensure that the findings are true and fair,"" Dr Chituwo said."
148,The New Times (Kigali),5/3/11,Police Cautions the Public Over Corruption,,RWANDA (94%),Newspaper,Superintendent Theos Badege,ENGLISH,,,3-May-11,,166  words,CORRUPTION (94%); LAW ENFORCEMENT (91%); BRIBERY (90%); POLICE FORCES (90%); WHISTLEBLOWERS (73%) Rwanda; Crime and Corruption,"The Rwanda National Police would like to caution the public to steer away from corrupt tendencies. The vice is taking a new twist, where on several occasions, perpetrators have attempted to bribe Police officers. In a period of less than one month, police officers have rejected bribes of Frw 200,000; Frw 100,000 and Frw 7,000 respectively, in Rubavu, Gicumbi and Nyabihu. With the country's zero tolerance to corruption, the Rwanda National Police calls on the general public to desist from corruption. In its capacity as the law enforcement institution, RNP is determined to ensure that all those involved in corruption activities are brought to justice. Rwanda National Police takes the opportunity to thank those who have refused to be drawn into corruption. It also expresses its gratitude to whistleblowers for their boldness in reporting corruption instances to law enforcers. It further encourages them to continue giving information related to corruption instances so that it can be combated."
149,Concord Times (Freetown),5/6/11,"Govt, UK Sign MOU on Corruption",,UNITED KINGDOM (98%); SIERRA LEONE (96%); EUROPE (79%); AFRICA (79%),Newspaper,,ENGLISH,,,10-May-11,,285  words,CORRUPTION (96%); AGREEMENTS (90%); INTERNATIONAL RELATIONS (90%); INTERNATIONAL ECONOMIC DEVELOPMENT (71%); POVERTY & HOMELESSNESS (56%) Sierra Leone; Europe and Africa; Crime and Corruption,"The Sierra Leone Anti-Corruption Commission (ACC) has signed an anti-corruption Memorandum of Understanding with the government of the United Kingdom. The purpose of the MoU, according to a joint statement released by the two countries, was to provide a framework for ongoing dialogue between the ACC and UK on matters of common interest in Sierra Leone. ""It underscores our shared commitment to good governance and transparency and recognises the need to reinforce joint collaboration aimed at reducing poverty in Sierra Leone,"" the statement said. Building on the Department for International Development's (DFID) support for the ACC, the agreement will provide support to building the capacity of the ACC to undertake preventative programmes and carry out investigations; to detect, freeze and recover assets stolen from Sierra Leone which are held in the UK; to improve cooperation on corruption investigations which have a UK dimension; and where relevant and possible, HMG will assist the ACC in facilitating contacts with third countries where these are required in such investigations. British High Commissioner to Sierra Leone, Ian Hughes, said: ""This agreement will put at Sierra Leone's disposal international expertise and anti-corruption networks in the UK and the wider EU. This will extend the ACC's reach beyond Sierra Leone's shores and make it much harder for the corrupt to hide their ill-gotten gains."" For his part, ACC Commissioner Joseph F. Kamara said ""the agreement will further cement the growing relationship between the UK government and the ACC in the campaign against corruption, and usher in a new dawn of rigorous pursuit of the proceeds of corrupt acts at the international level""."
150,The Namibian (Windhoek),5/6/11,N$71 Million Corruption Accused Still in Hospital,,NAMIBIA (94%),Newspaper,Denver Kisting,ENGLISH,,,6-May-11,"WINDHOEK, NAMIBIA (93%)",316  words,CORRUPTION (91%); MAGISTRATES (90%); DELAYS & POSTPONEMENTS (89%); EMBEZZLEMENT (78%); FRAUD & FINANCIAL CRIME (78%); HYPERTENSION (78%); ARRESTS (78%); INVESTIGATIONS (76%); CRIMINAL INVESTIGATIONS (76%); UNOFFICIAL ECONOMY (73%); LAW ENFORCEMENT (72%); BAIL (71%) Namibia; Crime and Corruption,"Tomorrow it will be one month since multimillion-dollar corruption accused Esmerelda Majiedt was hospitalised for high blood pressure, an ear infection and for her left leg to be elevated. The 46-year-old woman was admitted to the Windhoek Central Hospital on April 7 - shortly after she had made a second court appearance for allegedly embezzling more than N$71 million from her former employer, AfriSam Cement, since 2007. During her appearance in the Windhoek Magistrate's Court yesterday, Majiedt's lawyer, Bradley Basson, told Magistrate Ruth Herunga that he had no idea how much longer his client would need to stay in hospital. Basson said: ""The doctor is unable to discharge her [now] as her blood pressure is still fluctuating."" Basson asked Herunga that Majiedt should ""not be brought to court for a mere postponement, should she not be discharged before her next court appearance"". Public prosecutor Hans Thourob said the State ""will not entertain a formal bail application while the accused is still in hospital"". Majiedt was arrested on April 4 by officials of the Anti-Corruption Commission (ACC). She is accused of having masterminded the corruption bonanza by manipulating her former employer's accounting system and using their own money to pay for truckloads of cement. This allegedly enabled her to have the cement released from the company's premises where it was picked up by third parties. Majiedt's alleged accomplices - all still at large - then allegedly sold the cement on the black market after which the money was allegedly shared by them. The alleged fraud was detected when Majiedt wrote off stock worth more than N$13 million earlier this year. As the company is in the process of winding down its Namibian operations, it is suspected that she did the write-off to conceal her alleged corruption. Yesterday Herunga postponed the case to June 1 for further Police investigation."
151,The Namibian (Windhoek),5/10/11,Majiedt 'Corruption' - Trucker's Suicide Link?,,NAMIBIA (95%),Newspaper,Denver Kisting,ENGLISH,,,10-May-11,"WINDHOEK, NAMIBIA (94%)",577  words,SUICIDE (92%); CORRUPTION (91%); INVESTIGATIONS (90%); TRUCKING (90%); MANAGERS & SUPERVISORS (77%); CRIMINAL INVESTIGATIONS (77%); ARRESTS (77%); LAW ENFORCEMENT (74%); UNOFFICIAL ECONOMY (72%); SHOOTINGS (69%) Namibia; Crime and Corruption,"The mysterious suicide two weeks ago of a Windhoek man involved in the trucking industry has raised renewed questions about who shared the N$71 million cake with corruption accused Esmerelda Majiedt. Yesterday an official close to the probe confirmed they received information that Gavin van Wyk, who committed suicide recently, may have been an accomplice of Majiedt's. This could however not be confirmed by Acting Director of the Anti-Corruption Commission (ACC), Erna van der Merwe. Gavin van Wyk, a Windhoek businessman and a shareholder in SBS Trucking, committed suicide on April 16 - just five days after his 37th birthday and less than two weeks after Majiedt was arrested. According to Khomas Regional crime investigation coordinator Deputy Commissioner Silvanus Nghishidimbwa, Van Wyk shot himself at his home in Windhoek at about 22h00 on April 16. Nghishidimbwa said Van Wyk left no suicide note. ""What forced him to do that is not known to us."" Van Wyk's body was found by relatives and no foul play is suspected, the Police officer said. SBS Trucking's financial manager, Klaus Beukes, yesterday confirmed that they transported ""four or five loads"" of cement per week for AfriSam from Windhoek to Swakopmund. Beukes also confirmed that they dealt with Majiedt as she was ""chief in charge of everything"". He, however, maintained that there could not have been any underhand dealings. ""I am the financial guy and there is no way that it could have happened. Gavin did not do any invoicing. Our books are open for any investigation."" Majiedt is accused of having manipulated the accounting system of her former employer, AfriSam Cement, over a period of four years. This alleged corruption spree enabled her to have truckloads of cement released from the company's premises, picked up by third parties and sold on the black market. After spending 32 nights under Police guard in hospital, Majiedt was discharged yesterday. Majiedt's lawyer, Bradley Basson confirmed her release from the Windhoek Central Hospital yesterday. Van der Merwe, of the ACC yesterday said the ACC did not doubt the seriousness of the illness that kept Majiedt in hospital for longer than a month. Responding to a question by The Namibian about the possibility that the 46-year-old Majiedt was being hospitalised to delay the legal process, Van der Merwe said: ""That would be a very dangerous thing to say, because I am not a medical practitioner. Doing that would also cast doubt on the credibility of the doctor. It is not something that we would like to question at this stage."" Since her hospitalisation on April 7, Majiedt spent both her birthday and Mother's Day in the Windhoek Central Hospital. She was admitted merely three days after she was nabbed by officials of the anti-graft watchdog. In a medical statement handed in to court recently, it was stated that Majiedt needed to be hospitalised to rest, have her high blood pressure monitored, an ear infection treated and her left leg elevated. She was meant to be returned to the Wanaheda Police station yesterday. Magistrate Ruth Herunga postponed Majiedt's graft case last Thursday to June 1 for further Police investigations to be done. Majiedt, the alleged kingpin in the N$71 million corruption case, is the only one who has been arrested thus far. All van der Merwe was prepared to say yesterday about the progress of the investigation was: ""We're making good progress, yes."" She maintained that other arrests were ""not excluded""."
152,Concord Times (Freetown),5/16/11,ACC Presents 'Corruption Proceeds' to Pres. Koroma,,UNITED STATES (92%); SIERRA LEONE (79%),Newspaper,,ENGLISH,,,17-May-11,,322  words,CORRUPTION (93%); ANNUAL REPORTS (90%); FINANCIAL RESULTS (89%); CRIMINAL CONVICTIONS (87%); FINANCIAL PERFORMANCE & REPORTS (78%); HEADS OF STATE & GOVERNMENT (78%); ANNUAL FINANCIAL RESULTS (78%); REGIONAL & LOCAL GOVERNMENTS (77%); THIS DAY IN HISTORY (73%); ASSOCIATIONS & ORGANIZATIONS (70%) Sierra Leone; Crime and Corruption,"Commissioner of the Anti-Corruption Commission (ACC) last Friday presented to President Ernest Bai Koroma the 2010 Anti-Corruption Commission Annual Report at State Lodge in Freetown. Joseph Fitzgerald Kamara also handed over to the president two cheques of six hundred and eleven million, one hundred and forty-one thousand leones (Le611,141,000) and nine thousand four hundred and fifty US dollars ($9,450), being monies recovered from proceeds of corruption. Mr. Kamara informed President Koroma that within the course of the year in review, the ACC had presented to the government a total of one billion, eight hundred million leones (Le1,800,000,000), despite the fact that the commission was not a revenue generating agency. He assured the president that the ACC would continue to complement the work of his government by making sure there were enough recovery proceedings. Kamara also informed the head of state that in the course of the last six months, the commission prosecuted 17 new cases in which there were 8 convictions and 2 acquittals. In his response, President Koroma said he was satisfied with the promptness of the commission. ""I am very pleased that the Anti-Corruption Commission has submitted their report which is an indication of the level of efficiency and the speed with which you are doing things within the organization. So let me start by commending you for the timely submission of the report,"" commented President Koroma. He reaffirmed his government's support to the commission in the fight against corruption, while encouraging them to keep up with the good work. The Annual Report 2010 examines the convictions, cases acquitted and discharged; recovery details; case reports; systems review in ministries, departments and agencies, service charters, development of Codes of Conducts for local councils; community outreach meetings, general challenges, the way forward, and the Financial Report for 2009."
153,Concord Times (Freetown),5/16/11,"'In a State Where Corruption Abounds, Laws Must Be Very Numerous' - Tacitus [opinion]",,SIERRA LEONE (97%); UNITED KINGDOM (95%),Newspaper,Ian Hughes,ENGLISH,,,17-May-11,,403  words,CORRUPTION (94%); INVESTIGATIONS (90%); FRAUD & FINANCIAL CRIME (78%); CRIMINAL INVESTIGATIONS (76%); POLLS & SURVEYS (66%); POVERTY & HOMELESSNESS (54%) Sierra Leone; Legal and Judicial Affairs; Crime and Corruption,"Sierra Leone has a corruption problem, and Britain is leading efforts to help deal with it. Sometimes I am called a hypocrite for this: how dare Britain criticise corruption here when it exists in Britain too! Not so? Critics who say this misread our motive. Britain does not judge Sierra Leone: corruption is a fact of life everywhere, a crime that stems from human greed just like theft and fraud. As Tacitus told his Roman readers, all countries have to arm themselves with laws to deter, prevent and detect it. All countries need to work together vigorously to keep it in check. Corruption is particularly dangerous for Sierra Leone. It diverts development funds, undermines social programmes and distorts government decisions. Winning the battle against it is essential to address the chronic poverty and deliver prosperity to a nation celebrating its 50th birthday. Sierra Leone has effective anti-corruption legislation and an active Anti Corruption Commission (ACC). I am pleased that the UK is helping by providing encouragement, technical advice and financial support through DFID. But Sierra Leoneans decide priorities, investigate allegations, prosecute the accused and determine their fate: the progress made is entirely theirs. The passionate response to the ACC decision on the NASSIT ferry issue in newspapers, on radio and TV demonstrates that Salones care deeply about that progress. Bravo: in a democracy it is important that government knows that the public is on its side in such a difficult struggle. Yet the public know the struggle is not over. A recent survey commissioned by the ACC shows public perception of continuing corruption in some ministries and in the Sierra Leone Police. While more needs to be done it is an uncomfortable fact that as the ACC gets better, its job gets harder. As it tracks ill-gotten gains through Sierra Leone's banks, corrupt big fish have moved their money off-shore. So last week the Anti Corruption Commissioner and I signed an MOU plugging the ACC into the UK's own system for tracking and combating corruption. This allows it to track ill-gotten gains through banks in the UK and beyond.  It signals Sierra Leone's determination to fight corruption effectively and it demonstrates continued UK support. We are both determined that this MOU will not gather dust on government shelves. Already we are planning how to put it to work.  I'll let you know how we get on."
154,The New Times (Kigali),5/16/11,Corruption Fight Effective - Anti Graft Body,,RWANDA (94%),Newspaper,Charles Kwizera And Emma Prince,ENGLISH,,,17-May-11,"KIGALI, RWANDA (79%)",439  words,CORRUPTION (95%); BRIBERY (92%); ETHICS (78%); POLLS & SURVEYS (77%); REGIONAL & LOCAL GOVERNMENTS (74%); LAW ENFORCEMENT (73%); COLLEGE & UNIVERSITY PROFESSORS (50%) Rwanda; Crime and Corruption,"A new study by Transparency International (T.I) shows that the fight against corruption is paying off. The study dubbed 'Rwanda Bribery Index (RBI) 2010' measures bribery levels in the private and public sectors Speaking at the launch of the index, last week, the chairperson of Transparency Rwanda, Immaculee Ingabire, pointed out that the research shows that the likelihood of encountering a bribe demand is 3.9 percent while the prevalence of bribery is at 2.15 percent. ""Bribery levels in our country are so low, and we commend all the institutions that fight corruption on a daily basis,"" Ingabire said. The research is the first attempt by any organisation to intensely analyse the current state of this specific form of corruption in the country. Respondents in the survey mention the police as the leading institution in fighting corruption. 43.2 percent said they had faith in the police on fighting corruption followed by the Ombudsman at 17.6 percent and the Presidency at 15.5 percent. The survey dwelt on small bribes and petty corruption. Almost 90 percent of the bribes paid were below Rwf50, 000 while 40.5 percent were below Rwf5, 000. According to the research, the Police has the highest prevalence of bribery rated at eight percent, closely followed by civil society at five percent, village conciliators at 4.2 percent and private sector at 3.2 percent. Bosco Binenwa, an ethics and culture professor at Kigali independent University (ULK), reacting to the report, explained that because Police are law enforcers, it makes them susceptible to bribes. ""They are exposed to bribery from people who fear being apprehended or fined larger sums of money,"" Binenwa said. Police spokesperson, Theos Badege, concurred that the nature of their work makes them prone to bribes, but noted that the institution has mechanisms to facilitate the elimination of the vice. ""We are fighting corruption in every way possible and that is why the Police has come top on the list of the institutions fighting corruption,"" Badege said. He added that taking a bribe is outlawed and all officers within the force are aware of the grave consequences should they be found guilty of taking bribes. Speaking at the launch of the report, the Minister of Local Government, James Musoni said: ""Though the government has put in place a number of ways to check corruption, it is always important to have an outsider's view."" He added that he was confident that such perception surveys would help government to fine-tune zero tolerance strategies to corruption. The Minister urged the civil society and the media to do more in educating the public about corruption."
155,New Democrat (Monrovia),5/20/11,Unmil Official's Honest Observations On the Tenants of Corruption,,AFRICA (79%); LIBERIA (79%),Newspaper,,ENGLISH,,,28-May-11,,510  words,ETHICS (90%); CORRUPTION (90%); JURY TRIALS (90%); NONGOVERNMENTAL ORGANIZATIONS (90%); LEGISLATIVE BODIES (89%); INTELLIGENCE & COGNITION (89%); POLITICAL CORRUPTION (78%); CONFLICTS OF INTEREST (78%); FOUNDATIONS (76%); EXECUTIVE ORDERS (69%); CONSULTING SERVICES (67%) Liberia; Corruption; Legal and Judicial Affairs; International Organizations and Africa,"UNMIL Deputy Special Representative of the Secretary General, Henrietta Mensa-Bonsu, has made some remarkable, but no so strange, suggestions that the government should seriously consider if public confidence in state institutions is to be salvaged. She called for relentless prosecution of corrupt public officials. She said if this is not done, public trust in the government will continue to be eroded. Political institutions are therefore endangered. The official reflected on the oddity within the judicial system, one that allows illiterate men and women to serve on the jury and are expected to render intelligent, fair and acceptable judgments on complicated cases. The UNMIL official further noted that there is a need for a Code of Conduct governing public officials. These are ideas which, if accepted and applied, could mitigate the graft hemorrhage for various reasons. Illiterate jurors, whatever their virtues, cannot understand the complexities of cases for acceptable verdicts. This erodes faith in the judicial system. A Code of Conduct that bars public officials from running NGOs, foundations and other projects or businesses while in office is long over due. Within the prevailing political atmosphere that is free for all, conflict of interest is protected because it opens the avenues for siphoning of public funds into private coffers through NGOs, foundations, etc. Dumping public funds on private projects has been a perennial problem now entrenched, and it will require a revolution, not cosmetic reforms, to alter it. Historically, the entire state bureaucracy--ministries and agencies, etc.-- have been run from private buildings owned by political elites or their extensions. This trend has taken a more sophisticated form, leading to the establishment of declared 'private' enterprises such as cronies-run consultancies through which state funds are channeled. By occupying influential public offices and running NGOs, foundations or businesses, the condition for abuse is created. This is one of the reasons why it has been suggested that donors can better channel funds through the state and its official institutions than via private foundations and NGOs beyond the reach of audits and probe. A Code of Conduct for public officials was one of President Ellen Johnson Sirleaf's announced priorities. Formulated and adopted, it would have given the public yardstick for measuring performance. But since the pronouncement was made, the idea has simply died. The argument that the Legislature must approve such a Code of Conduct to make it legally binding, however logical, is impractical. This is because this Legislature, unwilling for its members to be audited, is unlikely to subject members to a code of conduct. But what we believe that the President can do is to subject officials within the Executive branch to a Code of Conduct made legal through whatever means, including an Executive Order. It is however never too late. There is a need for a Code of Conduct as the UNMIL official has suggested, with mechanisms to monitor compliance."
